app_slug,tier,scope,module_key,n,r0,r1,r2,r3,top_share,read_nothing,best_rank,ties,pass,fails
cementing,beginner,module,m03-open-hole-excess,15,2,5,6,2,0.4,0.4,2,0,True,
cementing,beginner,module,m04-the-volumes,15,2,3,6,4,0.4,0.4,2,1,True,
cementing,beginner,module,m05-sacks-time-and-the-sheet,15,3,4,6,2,0.4,0.4,2,2,True,
cementing,beginner,module,m06-the-associate-reading,15,2,2,6,5,0.4,0.4,2,0,True,
cementing,intermediate,final,,42,6,8,16,12,0.381,0.3929,2,2,True,
cementing,intermediate,module,m01-the-flow-path,15,2,2,6,5,0.4,0.4,2,0,True,
cementing,intermediate,module,m02-the-u-tube,15,2,3,6,4,0.4,0.4,2,0,True,
cementing,intermediate,module,m03-the-job-over-time,15,2,3,6,4,0.4,0.4333,2,2,True,
cementing,intermediate,module,m04-two-programmes-one-well,15,3,3,6,3,0.4,0.4,2,0,True,
cementing,intermediate,module,m05-reading-a-placement-result,15,2,2,6,5,0.4,0.4,2,2,True,
cementing,intermediate,module,m06-the-professional-reading,15,2,2,6,5,0.4,0.4,2,1,True,
completion,advanced,final,,42,6,6,16,14,0.381,0.381,2,4,True,
completion,advanced,module,m01-a-completion-is-not-static,15,2,2,6,5,0.4,0.4,2,0,True,
completion,advanced,module,m02-the-polished-bore-receptacle,15,2,2,6,5,0.4,0.4,2,0,True,
completion,advanced,module,m03-the-asymmetry,15,2,2,6,5,0.4,0.4,2,1,True,
completion,advanced,module,m04-designing-the-space-out,15,2,2,6,5,0.4,0.4,2,3,True,
completion,advanced,module,m05-the-edges,15,2,2,6,5,0.4,0.4,2,0,True,
completion,advanced,module,m06-the-expert-reading,15,2,2,6,5,0.4,0.4,2,1,True,
completion,beginner,final,,42,6,6,16,14,0.381,0.381,2,2,True,
completion,beginner,module,m01-what-a-completion-is,15,2,2,6,5,0.4,0.4,2,0,True,
completion,beginner,module,m02-api-drift,15,2,2,6,5,0.4,0.4222,2,1,True,
completion,beginner,module,m03-the-stack-up,15,2,2,6,5,0.4,0.4,2,0,True,
completion,beginner,module,m04-the-equipment,15,2,2,6,5,0.4,0.4,2,1,True,
completion,beginner,module,m05-volumes-and-what-a-tally-hides,15,2,2,6,5,0.4,0.4,2,0,True,
completion,beginner,module,m06-the-associate-reading,15,2,2,6,5,0.4,0.4333,2,3,True,
completion,intermediate,final,,42,6,6,16,14,0.381,0.4048,2,4,True,
completion,intermediate,module,m01-the-exposed-program,15,2,2,6,5,0.4,0.4,2,0,True,
completion,intermediate,module,m02-getting-it-down,15,2,2,6,5,0.4,0.4,2,1,True,
completion,intermediate,module,m03-getting-through-it-afterwards,15,2,2,6,5,0.4,0.4,2,2,True,
completion,intermediate,module,m04-the-volumes,15,2,2,6,5,0.4,0.4,2,0,True,
completion,intermediate,module,m05-reading-a-check-critically,15,2,2,6,5,0.4,0.4,2,0,True,
completion,intermediate,module,m06-the-professional-reading,15,2,2,6,5,0.4,0.4,2,1,True,
compliance,advanced,final,,42,10,10,12,10,0.2857,0.3155,2,18,True,
compliance,advanced,module,m01-a-claim-is-evidence,15,4,4,3,4,0.2667,0.2667,0,4,True,
compliance,advanced,module,m02-independence,15,4,5,2,4,0.3333,0.3,1,3,True,
compliance,advanced,module,m03-coverage-over-the-cycle,15,4,4,4,3,0.2667,0.3,1,2,True,
compliance,advanced,module,m04-findings-and-root-causes,15,4,4,4,3,0.2667,0.3,1,3,True,
compliance,advanced,module,m05-certification-readiness,15,4,4,4,3,0.2667,0.3,0,4,True,
compliance,advanced,module,m06-the-expert-reading,15,4,4,4,3,0.2667,0.2667,0,2,True,
compliance,beginner,final,,42,10,11,12,9,0.2857,0.2718,2,18,True,
compliance,beginner,module,m01-what-the-register-derives,15,3,6,4,2,0.4,0.3333,1,3,True,
compliance,beginner,module,m02-an-obligations-status,15,3,5,4,3,0.3333,0.3333,1,3,True,
compliance,beginner,module,m03-lead-time-and-the-current-period,15,4,4,3,4,0.2667,0.3056,1,3,True,
compliance,beginner,module,m04-rolling-the-schedule-forward,15,4,4,5,2,0.3333,0.3389,2,5,True,
compliance,beginner,module,m05-controlled-documents,15,4,3,5,3,0.3333,0.3222,2,7,True,
compliance,beginner,module,m06-the-associate-reading,15,3,6,3,3,0.4,0.3333,1,3,True,
compliance,intermediate,final,,42,9,11,12,10,0.2857,0.2798,2,11,True,
compliance,intermediate,module,m01-the-inspection-and-test-plan,15,4,4,4,3,0.2667,0.3111,2,4,True,
compliance,intermediate,module,m02-closing-a-plan,15,4,4,4,3,0.2667,0.2833,1,3,True,
compliance,intermediate,module,m03-the-nonconformance,15,4,4,4,3,0.2667,0.3333,2,6,True,
compliance,intermediate,module,m04-the-checklist,15,4,4,4,3,0.2667,0.3,0,2,True,
compliance,intermediate,module,m05-the-audit-and-the-programme,15,4,4,4,3,0.2667,0.2667,0,5,True,
compliance,intermediate,module,m06-the-professional-reading,15,3,5,4,3,0.3333,0.35,1,3,True,
consequence,advanced,final,,42,10,12,11,9,0.2857,0.3175,2,14,True,
consequence,advanced,module,m01-tnt-and-the-scaled-distance,15,4,4,4,3,0.2667,0.3,1,3,True,
consequence,advanced,module,m02-the-blast-field,15,4,3,4,4,0.2667,0.2667,0,3,True,
consequence,advanced,module,m03-probits,15,4,4,4,3,0.2667,0.3111,3,5,True,
consequence,advanced,module,m04-toxic-probits,15,3,4,4,4,0.2667,0.3111,2,7,True,
consequence,advanced,module,m05-what-the-engine-does-not-do,15,3,5,4,3,0.3333,0.3333,1,1,True,
consequence,advanced,module,m06-judgement-end-to-end,15,3,5,4,3,0.3333,0.2889,1,3,True,
consequence,beginner,final,,42,11,11,11,9,0.2619,0.2619,0,4,True,
consequence,beginner,module,m01-what-a-consequence-model-computes,15,3,4,4,4,0.2667,0.3,2,1,True,
consequence,beginner,module,m02-liquid-through-a-hole,15,4,5,3,3,0.3333,0.3333,1,0,True,
consequence,beginner,module,m03-gas-through-a-hole,15,4,4,4,3,0.2667,0.2667,0,1,True,
consequence,beginner,module,m04-pools-and-evaporation,15,4,4,3,4,0.2667,0.2667,0,1,True,
consequence,beginner,module,m05-the-gaussian-plume,15,4,3,4,4,0.2667,0.3,2,1,True,
consequence,beginner,module,m06-how-far-the-plume-reaches,15,4,4,4,3,0.2667,0.2667,0,2,True,
consequence,intermediate,final,,42,10,14,9,9,0.3333,0.2837,1,33,True,
consequence,intermediate,module,m01-how-fast-a-pool-burns,15,4,4,3,4,0.2667,0.3056,0,10,True,
consequence,intermediate,module,m02-the-flame-length,15,3,6,3,3,0.4,0.3833,1,8,True,
consequence,intermediate,module,m03-tilt-and-surface-emissive-power,15,4,5,3,3,0.3333,0.3111,2,10,True,
consequence,intermediate,module,m04-the-view-factor,15,4,4,5,2,0.3333,0.3167,2,8,True,
consequence,intermediate,module,m05-transmissivity-and-the-heat-flux,15,3,5,3,4,0.3333,0.3222,2,9,True,
consequence,intermediate,module,m06-a-published-pool-fire-reproduced,15,3,5,4,3,0.3333,0.3611,1,9,True,
corrosion,advanced,final,,42,10,7,14,11,0.3333,0.3214,2,6,True,
corrosion,advanced,module,m01-what-this-module-holds-back,15,2,4,5,4,0.3333,0.3667,2,1,True,
